	observed_features
A-1	602
A-2	573
A-3	560
B-1	527
B-2	499
B-3	511
C-1	532
C-2	508
C-3	521
D-1	419
D-2	421
D-3	465
E-1	477
E-2	450
E-3	473
F-1	541
F-2	499
F-3	429
G-1	514
G-2	492
G-3	406
H-1	453
H-2	470
H-3	420
I-1	444
I-2	453
I-3	493
J-1	458
J-2	454
J-3	494
K-1	464
K-2	439
K-3	508
L-1	481
L-2	453
L-3	501
M-1	562
M-2	551
M-3	575
N-1	471
N-2	462
N-3	511
