index,Clostridium_sensu_stricto_1,Lactobacillus,Fermentimonas,Terrisporobacter,Sphaerochaeta,Proteiniphilum,Streptococcus,Unidentified,Turicibacter,Fastidiosipila,Romboutsia,uncultured,Methanosphaera,Anaerococcus,Others,grupo
A-1,16.750980503609387,4.537789651187025,5.966388146800811,4.897781314537979,9.06421114458402,3.814016938555107,3.726861062164876,2.7719358078023455,2.6980427821671498,4.488527634096895,2.269842172076015,1.184183103128138,0.7521931071069933,0.7484037211769833,36.32884291100628,Control
A-2,15.812496185225122,4.272547862708795,6.3111635572012785,4.258306036499766,12.13403593009298,4.032471363756587,3.7883257716017984,2.773087017558137,2.4414559215478833,4.246098756892026,2.124066651746658,1.4974262985493683,0.8931659579662672,0.667331285223088,34.748021403430265,Control
A-3,12.08327122770408,3.9871813981219257,5.2268097580364685,3.460525662046008,12.398767824315597,3.649326774978884,2.9959755552243257,3.065533859989069,1.8035474735430017,3.331345953197198,1.505440453122671,1.5004720027823322,3.0580811844785614,0.6533512197545586,41.28036965270529,Control
B-1,20.460239533098722,3.0875729533243543,4.557500977538341,5.75227006125907,4.030354375751257,3.261357547320097,0.5952122344354173,2.538703277287802,2.522773022838192,2.43877713574025,2.34898842884245,1.1122214015727505,0.14626869994641642,2.8254478573807766,44.322312493664136,Grupo B
B-2,16.58067867036011,3.227146814404432,6.182479224376731,4.688365650969529,6.7243767313019385,4.899584487534626,0.514196675900277,2.6540858725761773,2.1104570637119116,2.3424515235457064,2.042936288088643,1.1720914127423823,0.24584487534626037,2.884349030470914,43.73095567867042,Grupo B
B-3,14.140343438626246,3.24551429067011,6.464046871085243,4.083874573592615,7.5683697265210945,5.353942220594754,0.52999788000848,2.7309345308073314,1.796210996974194,2.2009366507988517,1.8154836471563205,1.6613024456993082,0.9790506292520285,2.9968971033206775,44.433094994892706,Grupo B
C-1,14.781768400708648,2.116282815268159,6.482525366403608,4.06989853438557,3.522306329521662,6.344016749879208,0.36237719439523275,4.725398614913835,1.7361894024802704,4.127878885488807,1.8183282332098565,2.1952005153808987,0.16749879207601867,1.2530198099532937,46.29731035593495,Grupo C
C-2,13.347969264544457,2.0343944383461396,7.296011708744969,3.706549579216978,5.640321990486645,7.473472374679839,0.2616172703988291,4.434687156970362,1.5989754848152213,3.962678375411636,1.4709110867178925,2.4753018660812294,0.2305159165751921,1.1269667032564945,44.93962678375411,Grupo C
C-3,11.354033088776303,2.3271458302676113,7.000357375601758,3.1680295991086633,6.380205596081481,7.691984275473522,0.33425129811431814,4.3557779225966495,1.3874582185877358,3.792385797473144,1.3201875170804516,2.850595976371166,0.9670163341672098,1.2676322815278858,45.80293888877213,Grupo C
D-1,20.359705526046035,9.648681390364365,6.666666666666667,6.454198117603206,4.847637685211071,3.216848383188892,0.6224955735718944,1.9010343863572827,3.0174261485416083,0.8890131395023763,2.886963004379834,0.605721740751095,0.6262230919765166,2.2719224676171836,35.98546267822198,Grupo D
D-2,19.999621685014944,8.869594824651005,6.722657284455037,5.784436121514773,7.903000037831498,3.385919116256195,0.45965270684371806,1.8423939772254379,2.931941134188325,0.6790753981765217,2.854386562251731,0.6298944501191692,0.6166534256421897,2.3152877085461356,35.005485567283344,Grupo D
D-3,16.598732325694783,8.376401755241346,6.927352510970258,5.123354461238421,8.928327645051194,3.5962944904924425,0.5012189176011702,2.2779132130667965,2.2857142857142856,0.8659190638712823,2.258410531448074,0.832764505119454,1.8508044856167725,2.1764992686494393,37.40029254022428,Grupo D
E-1,14.038252344298638,1.4926400727042397,3.5402007628437273,3.8940831417044186,2.6217589468901035,1.7941974305660742,0.20379218704818033,16.973961417181886,1.3315340869972323,2.828305082411908,1.604174985886014,15.161863321537252,0.08399542844553379,0.19966126433774425,34.23157952714711,Grupo E
E-2,12.739018877145824,1.5776773168794673,4.146557517258232,3.326409676828151,4.140448408577189,2.4115706518418962,0.19243692345286822,15.923391777139715,1.1928034699737309,2.7154988087238072,1.4188404911723378,16.87183089987171,0.06872747266173866,0.19090964628260737,33.083878062190735,Grupo E
E-3,11.189943172033752,1.894265541587739,4.597899087308421,3.1255381436197696,5.305665576028931,2.8138453590494232,0.2083692095746513,13.888410539004651,1.0590666437058722,2.558980540726709,1.3914241432753574,16.964008954709833,0.2824177716548993,0.19459273290855864,34.525572584811414,Grupo E
F-1,17.132017642221726,12.214995888465277,5.918741122822755,5.591687224340285,4.629214323091874,4.13209239739852,4.724527173506765,3.7003812514016596,2.261344098078792,5.836510428347163,2.4856096284667712,1.098901098901099,0.6242057262465426,1.6352694924123494,28.014502504298445,Grupo F
F-2,15.024165612230082,11.464664274305628,6.523678151382523,5.515567632599723,7.874048414196519,4.806156526789604,4.5219772241697616,3.878943765686905,2.18631375884171,5.538384948868469,2.1510506336991018,1.0869339749839242,0.8442407019436206,1.6117322491650936,26.972142131137367,Grupo F
F-3,11.41624040920716,9.779411764705882,6.240409207161125,3.925831202046036,9.331841432225065,4.3861892583120206,3.206521739130435,4.421355498721228,1.6304347826086956,4.820971867007673,1.5952685421994885,1.0358056265984654,3.5070332480818416,1.6592071611253196,33.043478260869534,Grupo F
G-1,19.84781348738946,12.161833716604034,7.280273711369118,7.383102436105969,2.333277244938022,3.9972329724979905,5.378877110325873,2.7202871725839923,3.297997644287397,4.113148989474078,3.1932993063735116,0.962850786172341,0.8282386374259166,1.561127002823116,24.940639781629148,Grupo G
G-2,19.838175655819605,11.20623787786768,8.095135474012109,7.0038986736673,3.7439022001057936,4.296377564014654,5.389573496855593,2.7036028446603844,2.877965636816018,3.9300197872382108,2.789804674490136,0.7934486609329389,1.189193425151343,1.6926904766569364,24.449973551711285,Grupo G
G-3,12.895306859205776,8.833935018050541,7.635379061371841,4.750902527075812,6.28158844765343,4.054151624548736,3.444043321299639,3.5920577617328515,1.848375451263538,3.31768953068592,1.8700361010830324,1.0288808664259927,7.487364620938629,1.3971119133574006,31.563176895306913,Grupo G
H-1,25.449724446293022,8.963294166580015,8.015320092891061,8.859311635645211,1.6117292294894459,3.5648677688814945,6.587293334719766,2.178434023084122,4.422723649093619,2.178434023084122,3.531939967418807,0.6966829572631797,0.9861010016983813,1.415895462895567,21.538248240962176,Grupo H
H-2,23.432607587562803,8.670720163110754,9.043908832738659,8.264763707856988,2.5577077113522173,4.267093861501492,6.2276997014490645,2.4848904099614066,4.323527270079371,2.038884438942693,3.2076021262652006,0.7281730139081045,1.1086434136750893,1.419937377120804,22.223840384475334,Grupo H
H-3,16.522384368043532,7.651084178415369,9.283535328551405,6.381399950531784,3.778822106796383,4.482370077225382,4.468628905927941,2.8251848187539506,2.882897738203204,1.8962816390469124,2.52287905021024,0.8986726028526671,6.095583587545002,1.4867947343831587,28.823480913513063,Grupo H
I-1,25.455949404324162,9.33225474334461,7.337476099426386,8.981100161788499,1.1398735108104134,4.373804971319312,6.188410060302986,2.117958523312252,4.370127959994117,2.0499338137961463,3.596117076040594,0.7574643329901456,1.1012648918958672,1.8127665833210767,21.385497867333395,Grupo I
I-2,21.177734506143825,8.7356476196871,8.916940844692137,7.71503390854764,2.9006916000805747,5.094115803845207,5.752143064974597,2.110611249132702,3.5430515454687885,2.043465610241948,3.039459253788133,0.7251729000201437,2.3814319926587437,1.7502629870856556,24.11423711363281,Grupo I
I-3,17.81996194873768,8.409756514675388,8.157506573462452,6.718826824002224,3.6319716111930562,5.171123794865217,5.025759421962847,3.005622180893136,3.4267513200367685,1.8704974454349172,2.6186964236088843,0.8486714123858997,5.055687381089805,2.124885098014066,26.114282049637644,Grupo I
J-1,25.976538236285872,9.640264787832537,7.095320070278809,9.338562833868707,1.0470832519921203,3.8582355759845246,6.404955010914512,1.8528049408131755,4.30368963742524,2.158056329529522,3.7961204678155003,0.7418318632757733,0.96544625268426,1.9131453316059417,20.907945409693518,Grupo J
J-2,21.97404851440142,9.302037274267532,8.779288400347122,7.9941319889251625,2.301748006115955,4.783255506425886,6.190338443737344,2.0785982891855035,4.024959709078887,2.1757097400719037,3.1736848630108687,0.8140832265796107,1.857514773337741,1.8947063928261498,22.655894871688925,Grupo J
J-3,18.672284451752134,9.277566539923953,7.7525434179426576,7.255163909156305,2.893844414756962,4.638783269961976,5.164936799917789,2.608159490288768,3.473435412598911,2.0635083752954477,2.971945329359778,0.9906484431199261,4.367485356078512,2.042955503031549,25.826739286815343,Grupo J
K-1,25.338725286879583,7.408751555371215,7.7751278860777,9.114475321443384,1.2754043965159685,4.389603207521084,6.605143094151804,2.3399695838517904,4.2236969445596575,2.334785013134246,3.834854140743813,0.6964606663901562,0.9746992948983824,1.5242637909581087,22.164039817503117,Grupo K
K-2,22.111376836351212,7.076642751395057,9.304179478419314,7.898872565766997,2.694453934631591,5.181642181983829,6.281744676005011,2.6170140075162283,3.7398929506889873,2.1797061838059446,3.1522605625782942,0.7743992711536272,1.8084500626352351,1.592073795695251,23.58729074137341,Grupo K
K-3,18.448535009467292,7.158055007905678,8.350738839329285,7.32788069257647,3.443362158152609,4.719982822229596,5.643287981416776,3.0724784789865116,3.7517812176696794,2.266294481641258,2.87532452321927,0.9096410236389544,3.941127095980792,1.8173300279138767,26.274180639871936,Grupo K
L-1,25.565396852695848,8.129675810473817,7.5002149797919,8.592312322641673,1.903861037062516,4.8361853985725345,6.248172671768853,2.7276635996216356,3.9281107575887866,2.1394788889844354,3.644337432281366,0.7636082208272422,0.9373118926820878,1.40682775819073,21.676842376816587,Grupo L
L-2,21.360769996681046,7.865914371058745,8.919128222148467,7.5428697864808045,3.861046575948667,5.684257108087178,5.81480252240292,2.9782055537116934,3.385330235645536,1.9803075561455912,3.029096138953424,0.9005420953645316,1.8984400929306338,1.606372386325921,23.172917358114816,Grupo L
L-3,18.610655245566985,7.933394708401713,7.689228675499339,6.504423007645199,4.639154625145099,5.351639114597926,5.0554376976343915,3.594444222071008,3.2161870071648724,2.0654044750430294,2.7258535804346957,0.9086178601448984,4.441019893527598,1.7652003362286353,25.4993395508946,Grupo L
M-1,24.312919115503245,8.375404729387574,5.7513772308070035,7.835254039621281,5.788205686927433,4.6265748001289,5.590252735280127,2.568784814399926,3.394356039099544,2.0700661377691163,3.1043319471511657,0.9253149600257798,0.6199456780272223,1.110991759632943,23.92622032623873,Grupo M
M-2,20.00900545955986,7.735314534436502,6.354477401924917,6.476426333464663,9.480122324159021,5.112474437627812,4.92298455938913,2.8254629369054993,2.9924391662445355,2.2082137295735538,2.780435639106208,1.0825312845912836,0.8986698185775126,1.2213654528057636,25.90007692163373,Grupo M
M-3,18.374758046557837,7.704825365285463,5.813734390791209,6.08609260179174,9.551379776974597,5.354665204953836,4.748282772914918,3.3676493259562514,2.9856626526661985,2.0538207232052623,2.5677041401873963,1.157950632933075,1.6923893865944946,1.1939224721218247,27.34716250706591,Grupo M
N-1,30.866771952958494,8.696852144313775,5.979852496971741,9.808491390545699,1.737223815145893,3.4943804719483587,6.1193823885677485,1.8997531394225609,5.007743142335822,1.517962556923596,3.9804351492663184,0.6455174105705392,0.5627194529201613,1.223569818611141,18.459344669498137,Grupo N
N-2,26.53924431466242,8.783293513848331,7.484293425360587,8.914255375630475,3.4952659056720647,4.181930802583842,5.887974515529599,2.029908857623219,4.856207415272984,1.721971506946288,3.5342005132289174,0.5326962215733121,0.8123174940270773,1.2866118042651091,19.93982833377579,Grupo N
N-3,24.24335809517631,9.237032471534693,7.433418756285075,8.356311026048594,3.8391669640250434,4.721510364291044,5.495182794303695,2.4686151750089205,4.578778343659779,1.729003795374185,3.5585687871022156,0.713660103156324,1.273234502222078,1.4921983975086774,20.859960424303363,Grupo N
